,url,base,title,description,sku,color_valuecolor_value,price,color
27,tienda1s01zacwo0902-1.html,Baby Liberty Canvas Case raspberry,Description & Composition,"
                            This case for baby has a unique style thanks to its Liberty fabric in an exclusive color. It features a quilted lining to protect baby's accessories.
",S01ZACWO0902,,€50.00,
28,tienda1pesimival1-1.html,Baby Size 1 Small Suitcase milk white,Description & Composition,"
                            This small suitcase for baby is elegant with its embossed Bonpoint signature on the front. The grained material and fine topstitching are reminiscent of the adult line.
",PESIMIVAL1,,€70.00,
29,tienda1pesimival2-1.html,Baby Size 2 Medium Suitcase milk white,Description & Composition,"
                            Keep baby's things safe in this medium-sized rectangular suitcase. Its solid material is very finely grained and features an embossed Bonpoint signature on the front.
",PESIMIVAL2,,€90.00,
30,tienda1pesimival3-1.html,Baby Size 3 Large Suitcase milk white,Description & Composition,"
                            This spacious suitcase carries all of baby's essentials. The elegant grained material contrasts with the iridescent polka dot and cherry lining.
",PESIMIVAL3,,€160.00,
31,tienda1peenduival2-1.html,Baby Size 2 Medium Suitcase gold,Description & Composition,"
                            This medium-sized suitcase for baby features an adorable iridescent cherry on the front. The coated cotton is covered with a refined polka dot pattern.
",PEENDUIVAL2,,€55.00,
32,tienda1peenduival3-1.html,Baby Coated Cotton Large Suitcase gold,Description & Composition,"
                            This large rectangular suitcase protects all your baby's essentials. The coated cotton features iridescent dots and a matching cherry printed on the front.
",PEENDUIVAL3,,€70.00,
33,tienda1peenduival1-1.html,Baby Size 1 Small Suitcase gold,Description & Composition,"
                            The Bonpoint cherry has a place of honor on this small suitcase for baby: printed on the front and embossed on the metal zipper pull. This accessory is made of polka dot print coated cotton.
",PEENDUIVAL1,,€50.00,
34,tienda1maachat-stuffed-cat-camel-stripe.html,Maachat stuffed cat Camel stripe,Description & Composition,"
                            The Maachat stuffed cat is the perfect soft toy for any child. Its large colorful eyes are expressive and its original design delights babies and older children alike. It can be placed on a bed or on a shelf.                        ",PEMAACHAT,,€32.00,
35,tienda1chat-cuddly-toy-black.html,Chat cuddly toy Black,Description & Composition,"
                            With its long legs and very soft fur, this Chat cuddly toy will be a real comfort for your child. It is very pleasant to handle and distinguished by large green eyes and jet black fur.                        ",PEMAACHAT,,€32.00,
36,tienda1odette-ostrich-cuddly-toy-powder-pink.html,Odette ostrich cuddly toy Powder pink,Description & Composition,"
                            ",PEJODETTE,,€40.00,
37,tienda1pochette-a-langer.html,Changing Pouch,Description & Composition,"
                            ",PEMALIN,,€65.00,
38,tienda1babies-blanket-milk-white.html,Babies' blanket Milk white,Description & Composition,"
                            This pretty white cashmere babies' blanket is ideal for outings in the open air. With a jersey knit, it is soft and delicate and perfectly combines warmth with its decorative side.                        ",PEBDA2361CO,,€275.00,
39,tienda1babies-blanket-heathered-gray.html,Babies' blanket heathered gray,Description & Composition,"
                            This pretty white cashmere babies' blanket is ideal for outings in the open air. With a jersey knit, it is soft and delicate and perfectly combines warmth with its decorative side.                        ",PEBDA2361CO,,€275.00,
40,tienda1baby-gift-box.html,Baby gift box,Description & Composition,"
                            This lovely Bonpoint baby gift box is composed with a 2-piece set pale pink with a small cardigan and pants, as well as a baby merino hat, a printed- golden-cherry blouse ecru, matching socks and a cuddly white rabbit from the Winter collection 2018.                        ",PESET2, ,€0.00,
41,tienda1tooth-box.html,Tooth box,Description & Composition,"
                            Tooth box. Permanent collection. 3 cm x 3 cm                        ",PETOUBOITE,,€5.00,
42,tienda1set-of-embroidered-bibs-white.html,Set of embroidered bibs White,Description & Composition,"
                            Baby will discover new tastes day after day with this set of embroidered bibs. They are made of ribbed cotton and each has a different colored trim and a delicate embroidery for every day of the week.                        ",PESBAVOIRS,,€90.00,
43,tienda1pyjama-a-serigraphie-bebe-blanc-lait.html,Baby Silkscreened Pajamas milk white,Description & Composition,"
                            These beautifully soft baby pajamas feature a humorous take on the Bonpoint cherry. They have long raglan sleeves for extra style. 
",S01ZNIKN0501, ,€65.00,
44,tienda1pyjama-a-imprime-metallise-bebe-imprime-blanc-lait.html,Baby Metallic Print Pajamas printed white milk,Description & Composition,"
                            These soft, practical pajamas for baby feature a dreamy print with a metallic finish. This cotton rib design is footed and has snap buttons at the back for easy changes.
",S01ZNIKN0601, ,€75.00,
45,tienda1body-a-col-brode-bebe-bleu-du-nord.html,Baby Onesie with Embroidered Collar Northern Blue,Description & Composition,"
                            This discreetly charming onesie for baby is a timeless Bonpoint design. Its small pointed collar is adorned with delicate embroidered elephants.
",S01YUNKN0101, ,€60.00,
46,tienda1body-a-collerette-brodee-main-bebe-grenadine.html,Baby Onesie with Hand-Embroidered Collar grenadine,Description & Composition,"
                            This cotton rib baby onesie is a timeless piece from Bonpoint. This long-sleeved design has a pretty collar which has been delicately hand-embroidered.
",S01XUNKN0201, ,€60.00,
47,tienda1pyjama-combi-short-en-coton-imprime-bebe-blanc-lait.html,Baby Printed Cotton Playsuit Pajamas milk white,Description & Composition,"
                            These playsuit pajamas embrace baby in soft, comfortable cotton. The short-sleeved design wraps across the front and fastens with a tie.
",S01ZNIKN0301, ,€75.00,
48,tienda1body-en-coton-bebe-gris-moyen.html,Baby Cotton Onesie medium gray,Description & Composition,"
                            A timeless design from the House of Bonpoint, this baby onesie is easy to put on, thanks to the snap buttons at the back. It features a distinctive pointed collar embellished with adorable hand-embroidery.
",S01YUNKN0101, ,€60.00,
49,tienda1baby-cotton-onesie-with-small-collar-camellia-pink.html,Baby Cotton Onesie With Small Collar camellia pink,Description & Composition,"
                            This onesie adds charm to baby's outfit with its hand-embroidered collar. This timeless long-sleeved design is made of cotton.
",S01XUNKN0201, ,€60.00,
50,tienda1baby-pajamas-with-collar-pale-pink.html,Baby Pajamas with Collar pale pink,Description & Composition,"
                            These baby pajamas are very original with their collar trimmed with colored pompoms. This interlock design makes an ideal baby shower gift.
",S01XNIKN0201, ,€85.00,
51,tienda1valise-zippee-bebe-blue.html,Valise zippée bébé blue,Description & Composition,"
                            This solid-colored bag is ideal for keeping all of your baby's essentials close at hand. The zippered top is very practical, while the contrasting Bonpoint embroidery adds a pretty touch.
",C01YD9DA001,,€65.00,
52,tienda1robe-en-tissu-liberty-exclusif-bebe-jaune-clair.html,Baby Exclusive Liberty Fabric Dress light yellow,Description & Composition,"
                            The Solaire dress for baby stands out for the colorful pattern on its exclusive Liberty fabric. It features an elegant topstitched quilted panel on the front.
",S01XDRWO0903, ,€115.00,
53,tienda1turbulette-en-tissu-liberty-exclusif-bebe-jaune-clair.html,Baby Exclusive Liberty Fabric Sleep Sack light yellow,Description & Composition,"
                            The Joujou sleep sack for baby is made of organic Liberty fabric and features a crew neck and buttoned straps. The exclusive print is none other than the legendary Bonpoint cherries.
",S01ZACWO0704, ,€120.00,
54,tienda1s01zacwo0401-2.html,Baby Ocean Print Security Blanket milk white,Description & Composition,"
                            This security blanket for baby features a pretty sea creature design and the words ""Mon océan."" This timeless piece from Bonpoint makes an ideal and practical baby shower gift.
",S01ZACWO0401,,€25.00,
55,tienda1s01zdidi0201-1.html,Bonpoint x Izipizi junior' Sunglasses,Description,,,,€30.00,
56,tienda1baby-pajamas-with-embroidered-collar-white.html,Baby Pajamas with Embroidered Collar white,Description & Composition,"
                            These baby pajamas are stunning with their little collar hand-embroidered with colorful messages. They fasten with snap buttons at the front and between the legs.
",S01ZNIKN0201, ,€85.00,
57,tienda1robe-smockee-en-tissu-liberty-bebe-marine.html,Baby Liberty Fabric Smocked Dress navy,Description & Composition,"
                            The Pais dress for babies turns heads with its Liberty fabric in a floral pattern on a solid-colored background. Hand-embroidered smocking on the chest adds extra charm.
",S01XDRWO0401, ,€130.00,
58,tienda1s01zacwo0401-1.html,Baby Printed Woven Cotton Security Blanket natural white,Description & Composition,"
                            This security blanket with an all-over sea creature print will accompany baby day or night. It is an iconic Bonpoint design.
",S01ZACWO0401,,€25.00,
59,tienda1chapeau-en-tissu-liberty-exclusif-bebe-jaune-clair.html,Baby Exclusive Liberty Fabric Hat light yellow,Description & Composition,"
                            The Grigri hat for baby features a retro-inspired cloche shape. The exclusive Liberty fabric features a charmingly poetic print.
",S01XACWO0203, ,€50.00,
60,tienda1pyjama-combi-short.html,Baby Surplice Romper printed blue,Description & Composition,"
                            Ensure baby has sweet dreams with these printed cotton romper pajamas. The tied surplice front and cherry-embroidered pocket add charm to this design.
",S01ZNIKN0301, ,€75.00,
61,tienda1baby-silkscreen-cotton-pajamas-sky-blue.html,Baby Silkscreen Cotton Pajamas sky blue,Description & Composition,"
                            These footed pajamas promise comfortable nights for little ones. The silkscreen image on the middle of the chest adds charm to this design. It is made of 100% cotton for guaranteed softness on baby's delicate skin.
",S01ZNIKN0501, ,€65.00,
62,tienda1chapeau-cloche-en-tissu-liberty-bebe-framboise.html,Baby Exclusive Liberty Fabric Cloche raspberry,Description & Composition,"
                            This Grigri hat for baby, decorated with colorful flowers, is made of Liberty fabric in a pattern exclusive to Bonpoint. Its cloche shape has timeless charm.
",S01XACWO0203, ,€50.00,
63,tienda1veste-matelassee-bebe-blanc-naturel.html,Baby Padded Jacket natural white,Description & Composition,"
                            The Lutin jacket is made from certified organic padded poplin to keep babies warm and cozy. With its delicate collar, it makes a perfect baby shower gift.
",S01ZOUWO0101, ,€145.00,
64,tienda1baby-round-neck-sleepsuit-gray-blue.html,Baby round neck sleepsuit gray blue,Description & Composition,"
                            Super soft towelling velour sleepsuit with press-stud fastening on the front and between the legs.                        ",PEBPI1050PY, ,€85.00,
65,tienda1babies-underwear-milk-white.html,Babies' underwear milk white,Description & Composition,"
                            This cotton babies' underwear is extra-comfortable. The elasticated waistband of this white design ensures baby can move around freely without worrying about it slipping. It can be worn under a dress or with a floral blouse or classic T-shirt.                        ",PEBTI2037CA, ,€25.00,
66,tienda1baby-round-neck-sleepsuit-pale-pink.html,Baby round Neck Sleepsuit pale pink,Description & Composition,"
                            Super soft towelling velour sleepsuit with press-stud fastening on the front and between the legs.                        ",PEBPI1050PY, ,€85.00,
67,tienda1cashmere-baby-leggings-milk-white.html,Cashmere baby leggings milk white,Description & Composition,"
                            These milk white baby leggings in cashmere make a comfortable and cozy friend. Their elasticated waist and ribbed ankles make them as pretty as they are pleasant to wear. Match them up with a printed cardigan for a super-soft ensemble.                        ",PEBDA2568PA, ,€80.00,
68,tienda1baby-liberty-fabric-and-jersey-pajamas-milk-white.html,Baby Liberty Fabric and Jersey Pajamas milk white,Description & Composition,"
                            These baby pajamas combine materials with elegance. The colorful Liberty fabric bottoms contrast with the soft jersey top decorated with an embroidered cherry.
",S01ZSEKN0501, ,€95.00,
69,tienda1baby-cashmere-set-faded-pink.html,Baby Cashmere Set faded pink,Description & Composition,"
                            Softness is all around with this two-piece cashmere set for baby. The top features raglan sleeves with inverted seams. It make an ideal baby shower gift.
",S01ZSEKN0301, ,€195.00,
70,tienda1baby-set-with-collar-pale-pink.html,Baby Set with Collar pale pink,Description & Composition,"
                            This tricot set adds tenderness to baby's wardrobe. The original collar with scalloped picot-trimmed edges gives it a poetic look.
",S01XSEKN0201, ,€145.00,
71,tienda1baby-printed-cotton-romper-milk-white.html,Baby Printed Cotton Romper milk white,Description & Composition,"
                            Keep baby comfortable with this printed cotton romper. This long-sleeved design is a Bonpoint essential.
",S01XSEKN0401, ,€145.00,
72,tienda1baby-cherry-print-romper-natural-white.html,Baby Cherry Print Romper natural white,Description & Composition,"
                            This baby romper is delightful with its all-over cherry print. This emblematic Bonpoint design keeps baby warm and comfortable at night.
",S01XSEKN0401, ,€145.00,
73,tienda1ensemble-uni.html,Baby Cotton Set salmon,Description & Composition,"
                            This cotton set for baby is comfortable and easy to match. It is composed of leggings with an elastic waist and a top with an envelope neck.
",S01ZSEKN0901, ,€55.00,
74,tienda1ensemble-raye-mousse.html,Baby Novelty Cotton Set salmon,Description & Composition,"
                            This cotton set for baby is characterized by its garter stitch, forming wide stripes. The pants are elastic for easy dressing.
",S01ZSEKN0101, ,€135.00,
75,tienda1ensemble-en-coton-ajoure-bebe-blanc-lait.html,Baby Openwork Cotton Set milk white,Description & Composition,"
                            This set creates a cocoon of softness for baby with its openwork cotton and pretty cherry motif. This garter stitch design with picot trim makes an ideal baby shower gift.
",S01XSEKN0101, ,€135.00,
76,tienda1baby-liberty-fabric-and-jersey-romper-gray-blue.html,Baby Liberty Fabric and Jersey Romper gray blue,Description & Composition,"
                            This baby romper mixes materials with its jersey top and fabric bottom. A little tone-on-tone Bonpoint cherry is embroidered on the chest.
",S01ZSEKN0501, ,€95.00,
77,tienda1combinaison-rayee.html,Baby Striped Romper salmon,Description & Composition,"
                            Baby will be nice and warm in this adorable striped romper. This cotton design features an off-center button placket under the collar.
",S01ZSEKN0401, ,€125.00,
78,tienda1ensemble-ajoure-imprime.html,Baby Openwork Cotton Set pale pink,Description & Composition,"
                            This stunning set for baby features a floral print and openwork details. This soft cotton design makes an ideal baby shower gift.
",S01ZSEKN1003, ,€60.00,
79,tienda1baby-openwork-cherry-romper-pink.html,Baby Openwork Cherry Romper pink,Description & Composition,"
                            The openwork cherry on the front of this romper for baby makes it very charming indeed. The rib knit sleeve and leg cuffs are enhanced with a rolled edge.
",S01ZSEKN0701, ,€125.00,
80,tienda1baby-all-over-print-set-natural-white.html,Baby All-Over Print Set natural white,Description & Composition,"
                            This set for baby features stunning ruffled trim and an iconic all-over Bonpoint cherry print.
",S01XSEKN0502, ,€75.00,
81,tienda1ensemble-en-tissu-liberty-bebe-fleur-rose-camelia.html,Baby Liberty Fabric Set camellia pink,Description & Composition,"
                            This baby set is made of authentic Liberty fabric. Short ruffled sleeves, a gathered neckline and bloomers give this design a pretty refined retro look.
",S01XSEKN0501, ,€85.00,
82,tienda1ensemble-deux-pieces-2.html,Pebio set milk white,Description & Composition,"
                            All of the refinement and stylistic purity of Bonpoint is represented in this two-piece Pebio set. The ecru organic cotton fabric rests on the skin like a caress and protects from the cold. Ideal for a newborn upwards.                        ",PEBIOENSEMB, ,€55.00,
83,tienda1ensemble-deux-pieces-1.html,Pebio set heathered gray,Description & Composition,"
                            All of the refinement and stylistic purity of Bonpoint is represented in this two-piece Pebio set. The ecru organic cotton fabric rests on the skin like a caress and protects from the cold. Ideal for a newborn upwards.                        ",PEBIOENSEMB, ,€55.00,
84,tienda1ensemble-deux-pieces.html,Pebio set navy,Description & Composition,"
                            All of the refinement and stylistic purity of Bonpoint is represented in this two-piece Pebio set. The ecru organic cotton fabric rests on the skin like a caress and protects from the cold. Ideal for a newborn upwards.                        ",PEBIOENSEMB, ,€55.00,
85,tienda1baby-exclusive-liberty-fabric-dress-multicolored.html,Baby Exclusive Liberty Fabric Dress multicolored,Description & Composition,"
                            This Swing dress for baby, made from an exclusive multicolored Liberty fabric, features hand-embroidered smocking below the collar for an elegant look. Pompoms add an extra touch.
",C01XDRWO0101, ,€120.00,
86,tienda1baby-cotton-and-lace-dress-milk-white.html,Baby cotton and lace dress milk white,Description & Composition,"
                            The Angeli baby dress is the epitome of elegance. This lightweight cotton design has lace details on the upper part, while ruffled sleeves add extra charm.
",C01XDRWO0201, ,€0.00,
87,tienda1robe-en-popeline-imprimee-bebe-fleur-grenadine.html,Baby Printed Poplin Dress Grenadine flower,Description & Composition,"
                            The Laurie dress for babies is decorated with a very cheerful floral print and comes with irresistible short ruffled sleeves.
",S01XDRWO1102, ,€95.00,
88,tienda1baby-liberty-cotton-dress-raspberry.html,Baby Liberty Cotton Dress raspberry,Description & Composition,"
                            This Naylis dress for baby creates a perfectly elegant look. Crafted from an exclusive Liberty cotton, the colorful garment features ladder stitch inserts on the chest.
",S01XDRWO0601, ,€135.00,
89,tienda1robe-froncee-bebe-blanc-naturel.html,Baby Pleated Dress natural white,Description & Composition,"
                            The Lelia baby dress is made of soft Swiss dot voile material, which is lightweight and easy to care for. It features short raglan sleeves and a crew neck highlighted by pleats.
",S01XDRWO0101, ,€80.00,
90,tienda1robe-en-popeline-imprimee-bebe-imprime-rose.html,Baby Printed Poplin Dress printed pink,Description & Composition,"
                            The Laurie dress adds charm to a baby's wardrobe with its original print. The lightweight poplin is very comfortable to wear.
",S01XDRWO1101, ,€105.00,
91,tienda1robe-avec-entre-deux-en-dentelle-bebe-blanc-lait.html,Baby Dress with Lace Inserts milk white,Description & Composition,"
                            The Sweet baby dress features Calais lace inserts. Delicate gathers define the flared cut. This design is easy to put on and fastens with buttons at the back.
",S01XDRWO0801, ,€130.00,
92,tienda1robe-smockee-en-tissu-liberty-bebe-imprime-rose-petale.html,Baby Liberty Fabric Smocked Dress petal pink,Description & Composition,"
                            The Pais dress for babies features a flared cut and an original floral print. This exclusive Liberty fabric design has hand-smocking on the chest.
",S01XDRWO0401, ,€130.00,
93,tienda1exclusive-liberty-print-baby-dress-multicolored.html,Exclusive Liberty Print Baby Dress multicolored,Description & Composition,"
                            The exclusive Liberty fabric of the Clothi baby dress evokes dreams of exotic destinations. It is fully lined for extra comfort and adorned with hand-embroidered smocking at the chest. 
",S01XDRWO0301, ,€115.00,
94,tienda1baby-liberty-linen-dress-raspberry.html,Baby Liberty Linen Dress raspberry,Description & Composition,"
                            The Clothi dress for baby features a flared cut for a perfect mix of elegance and lightness. Its exclusive multicoloured Liberty fabric and hand-embroidered smocking on the chest add exceptional charm.
",S01XDRWO0302, ,€130.00,
95,tienda1exquis-girls-dress-geranium.html,Exquis girls' dress geranium,Description & Composition,"
                            Made from linen gauze, this elegant Exquis girls' dress in an original geranium color features a smocked bodice and ruffled sleeves which add to its overall charm. Complete the look with a pair of sandals.                        ",E20EXQUIS, ,€101.00,
96,tienda1blouse-en-coton-liberty-exclusif-bebe-multicolore.html,Baby Exclusive Liberty Cotton Blouse multicolored,Description & Composition,"
                            This pretty blouse for baby is made of an exclusive Liberty fabric with a colorful print. The ruffled collar adds charm to this design.
",C01XBLWO0101, ,€90.00,
97,tienda1blouse-a-bretelles-en-coton-liberty-bebe-multicolore.html,Baby Liberty Cotton Blouse with Straps multicolored,Description & Composition,"
                            This stunning baby blouse is made of an exclusive Liberty fabric. The hand-smocking on the front and small pompoms on the neckline give it added refinement.
",C01XBLWO0301, ,€90.00,
98,tienda1blouse-en-coton-avec-dentelle-bebe-blanc-lait.html,Baby Lace-Trimmed Cotton Blouse milk white,Description & Composition,"
                            This delicate, refined Nilk blouse for baby is ideal for hot summer days. The elegant short-sleeved design has gathering and lace panels on the chest.
",C01XBLWO0201, ,€80.00,
99,tienda1t-shirt-en-jersey-raye-bebe-rayures-marine.html,Baby Striped Jersey T-shirt navy stripes,Description & Composition,"
                            This baby striped jersey T-shirt offers a new take on the sailor top, with charming embroidery on the chest and back. The design features buttons on the shoulder for easy dressing.
",S01ZTSKN0201, ,€65.00,
100,tienda1baby-silkscreened-cotton-t-shirt-milk-white.html,Baby Silkscreened Cotton T-shirt milk white,Description & Composition,"
                            This baby T-shirt is decorated with a charming multicolored cherry print on the front. The design has snap buttons at the back for easy dressing.
",S01XTSKN0201, ,€40.00,
101,tienda1blouse-a-collerette-smockee-bebe-imprime-rose-fane.html,Baby Blouse with Smocked Collar printed pink,Description & Composition,"
                            The Laure blouse for baby features an elegant Bonpoint cherry print. This soft and lightweight sleeveless blouse is made of dobby cotton and embellished with an elegant smocked collar.
",S01XBLWO0801, ,€65.00,
102,tienda1baby-t-shirt-with-short-ruffled-sleeves-milk-white.html,Baby T-shirt with Short Ruffled Sleeves milk white,Description & Composition,"
                            This soft jersey T-shirt with its short ruffled sleeves adds a touch of poetry to any baby outfit. The flared design is embellished with a colorful cherry embroidered at the hem.
",S01XTSKN0301, ,€50.00,
103,tienda1t-shirt-serigraphie-bbf.html,Bonpoint x Ceizer Baby Silkscreened T-shirt pale pink,Description & Composition,"
                            This soft jersey baby T-shirt is a very comfortable everyday piece. The chest is adorned by the Ceizer name in tone-on-tone flocking.
",S01XTSKN0202, ,€50.00,
104,tienda1baby-cherry-silkscreen-t-shirt-milk-white.html,Baby Cherry Silkscreen T-shirt milk white,Description & Composition,"
                            This straight-cut T-shirt for baby features a unique cut with details below the neckline and on the shoulder. A colorful silkscreen cherry print on the front turns heads.
",S01XTSKN0201, ,€40.00,
105,tienda1blouse-smockee-tissu-liberty-bebe-fleur-rose-camelia.html,Baby Liberty Fabric Smocked Blouse camellia pink,Description & Composition,"
                            This Griotte blouse for baby features an elegant hand-smocked collar. The Liberty fabric's color, exclusive to Bonpoint, adds a particular charm.
",S01XBLWO0401, ,€100.00,
106,tienda1blouse-en-tissu-liberty-exclusif-bebe-jaune-clair.html,Baby Exclusive Liberty Fabric Blouse light yellow,Description & Composition,"
                            The Noelle blouse for babies is made from very poetic exclusive Liberty fabric. This organic cotton design features charming smocking on the cap sleeves.
",S01XBLWO0501, ,€90.00,
